2026-09-13 12:20:37,764 - INFO - Ingesting begin_inventory.csv in db
2026-09-13 12:28:29,291 - INFO - Loading sales with shape (50000, 14)
2026-09-13 12:28:29,991 - INFO - Loading sales with shape (50000, 14)
2026-09-13 12:28:30,626 - INFO - Loading sales with shape (50000, 14)
2026-09-13 12:28:31,288 - INFO - Loading sales with shape (50000, 14)
2026-09-13 12:28:32,003 - INFO - Loading sales with shape (50000, 14)
2026-09-13 12:28:32,691 - INFO - Loading sales with shape (50000, 14)
2026-09-13 12:28:33,318 - INFO - Loading sales with shape (50000, 14)
2026-09-13 12:28:34,003 - INFO - Loading sales with shape (50000, 14)
2026-09-13 12:28:34,645 - INFO - Loading sales with shape (50000, 14)
2026-09-13 12:28:35,318 - INFO - Loading sales with shape (50000, 14)
2026-09-13 12:28:35,943 - INFO - Loading sales with shape (50000, 14)
2026-09-13 12:28:36,653 - INFO - Loading sales with shape (50000, 14)
2026-09-13 12:28:37,291 - INFO - Loading sales with shape (50000, 14)
2026-09-13 12:28:37,957 - INFO - Loading sales with shape (50000, 14)
2026-09-13 12:28:38,606 - INFO - Loading sales with shape (50000, 14)
2026-09-13 12:28:39,333 - INFO - Loading sales with shape (50000, 14)
2026-09-13 12:28:39,993 - INFO - Loading sales with shape (50000, 14)
2026-09-13 12:28:40,665 - INFO - Loading sales with shape (50000, 14)
2026-09-13 12:28:41,290 - INFO - Loading sales with shape (50000, 14)
2026-09-13 12:28:41,967 - INFO - Loading sales with shape (50000, 14)
2026-09-13 12:28:42,604 - INFO - Loading sales with shape (50000, 14)
2026-09-13 12:28:43,279 - INFO - Loading sales with shape (50000, 14)
2026-09-13 12:28:43,924 - INFO - Loading sales with shape (50000, 14)
2026-09-13 12:28:44,604 - INFO - Loading sales with shape (50000, 14)
2026-09-13 12:28:45,252 - INFO - Loading sales with shape (50000, 14)
2026-09-13 12:28:45,929 - INFO - Loading sales with shape (50000, 14)
2026-09-13 12:28:46,563 - INFO - Loading sales with shape (50000, 14)
2026-09-13 12:28:47,320 - INFO - Loading sales with shape (50000, 14)
2026-09-13 12:28:47,942 - INFO - Loading sales with shape (50000, 14)
2026-09-13 12:28:48,629 - INFO - Loading sales with shape (50000, 14)
2026-09-13 12:28:49,256 - INFO - Loading sales with shape (50000, 14)
2026-09-13 12:28:49,941 - INFO - Loading sales with shape (50000, 14)
2026-09-13 12:28:50,577 - INFO - Loading sales with shape (50000, 14)
2026-09-13 12:28:51,258 - INFO - Loading sales with shape (50000, 14)
2026-09-13 12:28:51,899 - INFO - Loading sales with shape (50000, 14)
2026-09-13 12:28:52,588 - INFO - Loading sales with shape (50000, 14)
2026-09-13 12:28:53,228 - INFO - Loading sales with shape (50000, 14)
2026-09-13 12:28:53,903 - INFO - Loading sales with shape (50000, 14)
2026-09-13 12:28:54,531 - INFO - Loading sales with shape (50000, 14)
2026-09-13 12:28:55,205 - INFO - Loading sales with shape (50000, 14)
2026-09-13 12:28:55,893 - INFO - Loading sales with shape (50000, 14)
2026-09-13 12:28:56,575 - INFO - Loading sales with shape (50000, 14)
2026-09-13 12:28:57,206 - INFO - Loading sales with shape (50000, 14)
2026-09-13 12:28:57,882 - INFO - Loading sales with shape (50000, 14)
2026-09-13 12:28:58,510 - INFO - Loading sales with shape (50000, 14)
2026-09-13 12:28:59,215 - INFO - Loading sales with shape (50000, 14)
2026-09-13 12:28:59,838 - INFO - Loading sales with shape (50000, 14)
2026-09-13 12:29:00,527 - INFO - Loading sales with shape (50000, 14)
2026-09-13 12:29:01,161 - INFO - Loading sales with shape (50000, 14)
